,0,1,2
1,70,░,4
2,78,█,1
3,57,░,1
4,35,░,6
5,33,█,1
6,67,█,5
7,3,░,4
8,53,█,0
9,29,█,0
10,51,█,0
11,65,█,2
12,78,█,4
13,33,█,3
14,34,█,2
15,50,█,0
16,41,░,5
17,49,█,6
18,70,█,1
19,35,░,5
20,19,█,6
21,65,░,1
22,64,█,1
23,70,░,3
24,46,█,2
25,16,█,0
26,39,░,4
27,6,█,0
28,13,█,6
29,35,░,0
30,28,█,6
31,34,█,5
32,79,█,3
33,38,█,5
34,52,█,0
35,18,█,3
36,10,░,6
37,63,█,0
38,75,█,6
39,22,█,6
40,69,█,3
41,87,█,2
42,26,█,0
43,60,█,4
44,79,█,4
45,55,█,4
46,0,█,2
47,73,█,6
48,47,█,0
49,82,█,0
50,8,█,0
51,69,█,4
52,62,█,1
53,64,░,0
54,9,█,1
55,1,█,2
56,78,█,5
57,28,█,1
58,72,░,0
59,4,░,1
60,29,░,5
61,42,█,0
62,65,█,4
63,87,█,5
64,3,█,0
65,59,█,5
66,3,█,5
67,23,░,0
68,0,█,3
69,71,█,2
70,39,█,5
71,69,█,2
72,35,░,4
73,11,░,5
74,28,█,4
75,47,█,1
76,45,█,1
77,56,█,3
78,27,█,6
79,10,░,0
80,40,█,6
81,80,░,4
82,46,█,3
83,47,░,3
84,61,░,6
85,15,░,2
86,0,█,4
87,8,█,6
88,49,█,0
89,55,█,2
90,78,█,2
91,27,█,1
92,88,░,5
93,75,░,4
94,5,█,6
95,70,█,0
96,9,█,5
97,64,█,2
98,28,█,2
99,14,█,1
100,17,█,6
101,74,░,3
102,40,█,5
103,61,█,3
104,36,█,2
105,79,█,0
106,40,█,1
107,61,█,2
108,16,█,3
109,68,█,2
110,79,█,5
111,86,░,0
112,63,░,2
113,30,█,0
114,43,░,6
115,37,░,3
116,3,█,1
117,89,░,3
118,27,█,5
119,9,█,0
120,45,█,3
121,54,█,5
122,16,█,6
123,87,█,3
124,2,█,2
125,14,█,2
126,80,░,3
127,33,█,6
128,34,█,4
129,88,░,1
130,80,░,2
131,38,█,1
132,39,█,1
133,42,█,6
134,34,█,3
135,19,█,3
136,19,█,0
137,46,█,4
138,67,░,3
139,48,█,0
140,13,█,4
141,15,░,1
142,35,█,3
143,80,█,0
144,72,█,1
145,15,█,0
146,46,█,1
147,79,█,6
148,4,░,5
149,55,░,0
150,11,░,1
151,27,█,0
152,57,░,5
153,36,█,4
154,80,░,1
155,35,░,2
156,3,░,2
157,66,█,3
158,47,█,6
159,14,█,4
160,79,█,2
161,38,█,4
162,15,░,5
163,7,█,6
164,89,░,2
165,85,█,6
166,21,█,6
167,73,░,1
168,7,█,0
169,2,░,3
170,13,█,0
171,14,█,0
172,83,█,6
173,69,░,5
174,59,█,6
175,1,█,4
176,51,█,6
177,78,█,3
178,73,░,2
179,66,█,5
180,21,░,3
181,62,█,2
182,30,█,6
183,65,█,3
184,21,█,0
185,15,░,4
186,3,█,6
187,60,█,3
188,29,█,6
189,60,█,6
190,68,█,3
191,41,█,6
192,88,█,2
193,53,█,6
194,5,█,0
195,68,█,5
196,79,█,1
197,48,█,6
198,85,█,0
199,45,█,5
200,28,█,0
201,37,█,4
202,45,█,2
203,1,█,5
204,38,█,2
205,15,█,3
206,4,█,6
207,13,█,2
208,57,░,3
209,28,█,3
210,33,█,4
211,81,█,6
212,15,█,6
213,14,█,5
214,57,░,2
215,54,█,6
216,27,█,2
217,83,█,0
218,52,█,6
219,2,█,1
220,61,█,4
221,71,█,0
222,55,█,1
223,74,█,6
224,33,█,5
225,74,█,5
226,84,█,0
227,67,█,4
228,22,█,0
229,4,█,0
230,88,█,3
231,75,░,5
232,18,█,0
233,55,░,6
234,29,░,4
235,74,█,4
236,2,█,5
237,14,█,3
238,73,█,4
239,34,█,1
240,72,█,4
241,48,░,5
242,41,█,0
243,25,█,0
244,26,█,6
245,84,█,6
246,63,█,1
247,71,█,1
248,78,█,6
249,82,█,6
250,62,░,4
251,87,█,1
252,47,░,2
253,31,░,6
254,39,░,2
255,66,░,2
256,48,░,1
257,10,█,5
258,62,█,0
259,1,█,1
260,47,█,5
261,29,░,3
262,56,█,4
263,25,█,6
264,89,░,4
265,9,█,6
266,17,█,3
267,34,█,0
268,13,█,3
269,61,█,5
270,56,█,2
271,29,░,2
272,63,░,3
273,41,░,1
274,20,█,6
275,78,█,0
276,36,█,3
277,73,█,5
278,56,█,1
279,86,█,5
280,81,█,0
281,72,█,3
282,2,█,4
283,86,█,1
284,10,█,1
285,34,█,6
286,76,░,6
287,50,█,6
288,37,█,2
289,88,█,4
290,60,█,5
291,20,█,0
292,17,█,0
293,55,█,5
294,31,░,0
295,28,█,5
296,47,░,4
297,13,█,5
298,46,█,5
299,18,█,6
300,61,█,1
301,20,█,3
302,68,█,4
303,33,█,2
304,13,█,1
305,62,░,5
306,73,█,3
307,54,█,0
308,43,░,0
309,86,░,6
310,54,█,1
311,62,█,3
312,70,░,2
313,57,░,4
314,56,█,5
315,87,█,4
316,27,█,4
317,40,█,0
318,27,█,3
319,33,█,0
320,14,█,6
321,66,█,4
322,55,█,3
323,72,█,2
324,29,░,1
325,80,█,6
326,35,░,1
327,1,█,3
328,23,░,6
329,69,█,1
330,6,█,6
331,45,█,4
332,80,░,5
