customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract_type,paperless_billing,payment_method,monthly_charges,total_charges,churn
7127-VMMXL,Male,0,No,No,31,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,92.33,2873.68,Yes
6326-XZGAY,Female,0,Yes,No,12,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,129.13,1552.7,No
9312-BNJLG,Female,0,Yes,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,36.41,563.07,No
0680-PQBVO,Female,0,No,Yes,21,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),99.5,2031.74,No
8374-HRJTX,Male,0,No,No,23,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,149.73,3397.05,Yes
5405-HMNQU,Male,0,No,No,26,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,125.44,3228.0,No
2979-QYKHJ,Male,0,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),36.08,1001.78,No
0832-KNCDH,Female,0,Yes,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,124.16,5264.69,No
5481-PMYJS,Female,0,No,No,46,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,101.26,4552.4,No
4820-IHVUV,Female,0,Yes,No,32,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.78,3203.93,No
3983-LFQUX,Male,0,Yes,No,68,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),95.53,6611.5,No
5050-QNGWI,Female,0,Yes,No,48,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,126.94,6172.39,No
