timestamp,energy_kwh,temperature,humidity,is_weekend,is_holiday,hour_of_day,occupancy_percent
2020-01-01 00:00:00,61.0,29.8,30.4,0,1,0,5.5
2020-01-01 01:00:00,47.3,32.2,40.3,0,1,1,19.2
2020-01-01 02:00:00,52.6,28.6,64.7,0,1,2,13.9
2020-01-01 03:00:00,55.8,28.7,37.4,0,1,3,10.7
2020-01-01 04:00:00,59.9,37.0,33.3,0,1,4,6.6
2020-01-01 05:00:00,60.1,33.0,45.1,0,1,5,6.4
2020-01-01 06:00:00,59.8,27.6,30.8,0,1,6,6.7
2020-01-01 07:00:00,48.0,30.7,31.5,0,1,7,18.5
2020-01-01 08:00:00,60.4,36.7,45.2,0,1,8,6.1
2020-01-01 09:00:00,52.4,35.8,64.5,0,1,9,14.1
2020-01-01 10:00:00,55.2,34.4,51.5,0,1,10,11.3
2020-01-01 11:00:00,53.0,33.0,31.2,0,1,11,13.5
2020-01-01 12:00:00,53.3,27.1,41.3,0,1,12,13.2
2020-01-01 13:00:00,49.3,28.1,35.3,0,1,13,17.2
2020-01-01 14:00:00,49.4,30.1,50.4,0,1,14,17.1
2020-01-01 15:00:00,50.5,34.6,30.9,0,1,15,16.0
2020-01-01 16:00:00,52.9,32.7,62.8,0,1,16,13.6
2020-01-01 17:00:00,49.8,28.0,59.5,0,1,17,16.7
2020-01-01 18:00:00,47.5,29.7,32.4,0,1,18,19.0
2020-01-01 19:00:00,48.1,32.6,50.2,0,1,19,18.4
2020-01-01 20:00:00,56.7,30.8,37.6,0,1,20,9.8
2020-01-01 21:00:00,53.2,35.6,56.8,0,1,21,13.3
2020-01-01 22:00:00,50.6,29.3,47.8,0,1,22,15.9
2020-01-01 23:00:00,55.3,35.2,64.2,0,1,23,11.2
2020-01-02 00:00:00,-2.5,28.1,52.8,0,0,0,69.0
2020-01-02 01:00:00,40.1,37.0,34.9,0,0,1,26.4
2020-01-02 02:00:00,12.4,33.6,53.4,0,0,2,54.1
2020-01-02 03:00:00,29.2,33.2,56.2,0,0,3,37.3
2020-01-02 04:00:00,-6.4,34.7,63.3,0,0,4,72.9
2020-01-02 05:00:00,-1.6,28.1,54.6,0,0,5,68.1
2020-01-02 06:00:00,-4.5,34.2,34.0,0,0,6,71.0
2020-01-02 07:00:00,11.8,33.4,43.0,0,0,7,54.7
2020-01-02 08:00:00,43.1,34.6,53.6,0,0,8,23.4
2020-01-02 09:00:00,9.2,35.9,59.6,0,0,9,57.3
2020-01-02 10:00:00,46.2,36.1,57.3,0,0,10,20.3
2020-01-02 11:00:00,18.6,31.1,40.1,0,0,11,47.9
2020-01-02 12:00:00,39.3,36.6,37.7,0,0,12,27.2
2020-01-02 13:00:00,46.2,31.6,42.0,0,0,13,20.3
2020-01-02 14:00:00,15.6,34.3,30.9,0,0,14,50.9
2020-01-02 15:00:00,35.7,30.2,54.4,0,0,15,30.8
2020-01-02 16:00:00,33.1,33.0,58.0,0,0,16,33.4
2020-01-02 17:00:00,11.9,30.0,59.9,0,0,17,54.6
2020-01-02 18:00:00,-8.3,34.5,32.4,0,0,18,74.8
2020-01-02 19:00:00,5.6,36.0,62.9,0,0,19,60.9
2020-01-02 20:00:00,25.7,32.1,63.0,0,0,20,40.8
2020-01-02 21:00:00,-2.2,32.9,32.0,0,0,21,68.7
2020-01-02 22:00:00,2.3,35.4,62.5,0,0,22,64.2
2020-01-02 23:00:00,3.8,35.1,48.6,0,0,23,62.7
2020-01-03 00:00:00,30.7,30.2,43.6,0,0,0,35.8
2020-01-03 01:00:00,24.4,36.6,61.5,0,0,1,42.1
2020-01-03 02:00:00,16.9,34.1,61.3,0,0,2,49.6
2020-01-03 03:00:00,29.8,28.5,44.7,0,0,3,36.7
2020-01-03 04:00:00,22.0,35.8,54.5,0,0,4,44.5
2020-01-03 05:00:00,-4.4,32.1,38.2,0,0,5,70.9
2020-01-03 06:00:00,44.2,32.2,69.6,0,0,6,22.3
2020-01-03 07:00:00,3.9,33.7,53.5,0,0,7,62.6
2020-01-03 08:00:00,13.6,32.5,46.8,0,0,8,52.9
2020-01-03 09:00:00,8.0,31.4,36.3,0,0,9,58.5
2020-01-03 10:00:00,-2.3,29.6,45.8,0,0,10,68.8
2020-01-03 11:00:00,-4.5,33.9,47.0,0,0,11,71.0
2020-01-03 12:00:00,30.6,29.5,54.5,0,0,12,35.9
2020-01-03 13:00:00,17.0,35.2,54.3,0,0,13,49.5
2020-01-03 14:00:00,34.1,29.8,53.9,0,0,14,32.4
2020-01-03 15:00:00,3.6,32.2,56.0,0,0,15,62.9
2020-01-03 16:00:00,2.8,32.5,35.3,0,0,16,63.7
2020-01-03 17:00:00,39.2,36.0,35.6,0,0,17,27.3
2020-01-03 18:00:00,28.4,28.4,61.1,0,0,18,38.1
2020-01-03 19:00:00,0.7,33.8,60.6,0,0,19,65.8
2020-01-03 20:00:00,14.8,33.4,58.8,0,0,20,51.7
2020-01-03 21:00:00,-2.1,35.1,50.5,0,0,21,68.6
