id,area_sqft,bedrooms,bathrooms,age_years,basement,garage_spaces,lot_size_sqft,floors,neighborhood,year_sold,month_sold,sale_price
1,2255,4,2,7,1,2,5555,2,South,2021,8,411000
2,3615,5,4,5,0,2,14674,3,North,2023,3,914000
3,2526,5,2,3,1,3,12658,2,North,2022,4,662000
4,2360,3,1,23,1,1,4841,1,North,2021,9,355000
5,1181,1,1,14,1,2,3509,1,South,2021,1,247000
6,1150,2,1,41,1,2,6787,1,South,2023,2,180000
7,1128,2,1,1,1,3,2270,1,South,2023,2,309000
8,2643,5,3,26,0,2,14198,2,East,2021,1,618000
9,2355,4,2,34,1,2,12782,1,East,2022,12,429000
10,2605,4,3,34,0,1,12218,1,South,2021,4,379000
11,1592,3,2,43,1,2,7768,2,Central,2022,8,312000
12,4259,6,2,32,0,3,14131,1,East,2022,7,935000
13,3414,4,1,46,0,3,15925,1,West,2021,3,409000
14,1458,2,1,5,1,2,5325,1,Central,2021,4,339000
15,989,1,1,16,1,1,2526,1,North,2023,4,254000
16,1504,2,2,1,1,3,3411,1,East,2021,4,352000
17,2033,3,2,1,1,0,6788,2,East,2021,1,487000
18,1633,3,2,3,1,1,9265,2,South,2022,2,363000
19,1631,3,1,2,1,2,9575,2,North,2021,9,380000
20,995,2,1,4,0,1,5470,1,Central,2022,7,272000
21,1824,4,2,3,1,3,8829,1,North,2021,6,462000
22,1138,2,1,1,1,2,2703,1,Central,2021,7,278000
23,1417,2,1,44,1,2,8105,1,West,2021,10,208000
24,2217,4,2,1,1,2,8890,1,East,2023,5,548000
25,1628,2,1,32,1,2,3767,1,North,2021,10,321000
26,3075,4,3,3,1,2,12108,1,East,2021,8,682000
27,1103,1,1,44,0,1,4865,1,South,2021,6,121000
28,2334,4,1,43,0,2,12225,2,South,2022,1,294000
29,2266,4,4,27,0,1,6427,1,Central,2021,12,391000
30,1458,3,2,28,0,1,5198,1,South,2023,3,224000
31,2030,4,3,1,1,2,7185,2,East,2021,9,495000
32,1125,2,1,49,0,0,3278,1,Central,2022,8,175000
33,1359,2,1,42,1,3,6256,1,North,2023,4,275000
34,4104,5,5,43,1,2,23614,3,East,2023,1,1015000
35,3785,5,1,27,0,3,12168,2,East,2021,11,889000
36,3329,4,1,5,1,1,8990,3,East,2021,3,736000
