transaction_id,customer_id,amount,timestamp,merchant_category
10628,C6906,9300.9,2023-06-01 00:00:56,Retail
7033,C2936,41.15,2023-06-01 00:03:41,Electronics
5331,C1639,45.89,2023-06-01 00:03:45,Electronics
6845,C7277,49.8,2023-06-01 00:03:54,Retail
8001,C2999,77.94,2023-06-01 00:03:57,Restaurant
8824,C9806,24.84,2023-06-01 00:03:58,Grocery
4231,C1530,98.72,2023-06-01 00:04:44,Restaurant
6649,C6339,82.26,2023-06-01 00:08:20,Restaurant
4745,C3793,46.3,2023-06-01 00:08:26,Restaurant
8733,C8796,50.62,2023-06-01 00:10:08,Entertainment
5608,C2621,85.81,2023-06-01 00:10:41,Grocery
4392,C8506,47.81,2023-06-01 00:10:55,Grocery
5092,C5748,42.21,2023-06-01 00:13:02,Restaurant
9003,C2668,50.01,2023-06-01 00:13:26,Electronics
6122,C3419,68.34,2023-06-01 00:13:33,Retail
2084,C1992,51.37,2023-06-01 00:14:20,Retail
5243,C9918,5622.63,2023-06-01 00:15:54,Grocery
1662,C7625,65.12,2023-06-01 00:19:44,Retail
5643,C7631,7106.09,2023-06-01 00:20:01,Entertainment
2131,C2786,80.56,2023-06-01 00:21:01,Electronics
7579,C7837,68.44,2023-06-01 00:22:08,Electronics
5803,C5366,30.81,2023-06-01 00:24:11,Restaurant
2584,C7524,35.51,2023-06-01 00:25:30,Retail
4432,C4734,30.14,2023-06-01 00:25:31,Restaurant
1052,C2307,44.94,2023-06-01 00:27:00,Electronics
5664,C4844,98.08,2023-06-01 00:29:13,Entertainment
3065,C8714,107.8,2023-06-01 00:30:11,Restaurant
4336,C7249,45.41,2023-06-01 00:30:16,Restaurant
5588,C4863,94.54,2023-06-01 00:30:59,Electronics
9596,C9992,62.06,2023-06-01 00:31:06,Electronics
1410,C2146,64.65,2023-06-01 00:31:53,Retail
5435,C4795,65.82,2023-06-01 00:33:33,Restaurant
9935,C8756,70.6,2023-06-01 00:33:34,Grocery
8975,C5102,51.78,2023-06-01 00:34:02,Restaurant
9815,C8938,84.4,2023-06-01 00:34:44,Retail
5431,C4190,55.39,2023-06-01 00:35:33,Restaurant
1206,C6559,72.61,2023-06-01 00:36:43,Electronics
10662,C6292,58.84,2023-06-01 00:36:52,Electronics
5438,C6893,1940.6,2023-06-01 00:37:54,Restaurant
10086,C7554,29.02,2023-06-01 00:38:05,Grocery
5869,C6189,78.89,2023-06-01 00:38:44,Restaurant
2699,C6912,36.94,2023-06-01 00:39:03,Restaurant
7254,C8598,110.38,2023-06-01 00:39:45,Entertainment
8564,C4360,11515.41,2023-06-01 00:40:04,Retail
5898,C9873,35.54,2023-06-01 00:41:59,Restaurant
3381,C2284,51.07,2023-06-01 00:42:16,Grocery
9681,C8827,48.05,2023-06-01 00:44:26,Retail
7376,C5673,28.01,2023-06-01 00:45:38,Retail
6353,C3656,51.45,2023-06-01 00:45:53,Entertainment
1925,C8994,89.49,2023-06-01 00:47:02,Restaurant
1598,C4978,79.38,2023-06-01 00:48:33,Grocery
4142,C6883,10.0,2023-06-01 00:48:57,Entertainment
7841,C2601,44.32,2023-06-01 00:49:05,Restaurant
1376,C7528,44.88,2023-06-01 00:49:50,Restaurant
10139,C2623,38.04,2023-06-01 00:51:24,Restaurant
8805,C1473,35.16,2023-06-01 00:53:24,Electronics
5079,C8094,22.03,2023-06-01 00:53:34,Retail
9207,C9392,55.19,2023-06-01 00:54:21,Grocery
9566,C1648,38.6,2023-06-01 00:54:41,Retail
8351,C3813,47.87,2023-06-01 00:56:10,Entertainment
6944,C2137,2982.82,2023-06-01 00:57:19,Retail
4792,C8091,100.13,2023-06-01 00:57:48,Retail
9080,C1691,23.41,2023-06-01 00:58:32,Entertainment
4406,C7732,70.89,2023-06-01 01:00:25,Entertainment
4108,C1829,126.11,2023-06-01 01:01:38,Retail
7076,C2978,100.96,2023-06-01 01:01:47,Retail
1322,C5533,10.0,2023-06-01 01:01:54,Entertainment
7306,C8966,56.54,2023-06-01 01:03:46,Retail
7268,C5420,65.77,2023-06-01 01:04:25,Retail
2562,C6447,40.35,2023-06-01 01:04:31,Entertainment
9704,C5951,90.95,2023-06-01 01:05:28,Restaurant
5350,C6742,59.7,2023-06-01 01:12:19,Grocery
9785,C6918,89.24,2023-06-01 01:12:19,Electronics
5285,C4992,30.08,2023-06-01 01:12:42,Electronics
6377,C8794,91.8,2023-06-01 01:15:45,Entertainment
9624,C9278,0.69,2023-06-01 01:16:44,Retail
3022,C8007,69.33,2023-06-01 01:19:00,Grocery
4801,C9283,10.0,2023-06-01 01:19:17,Electronics
2482,C4637,5974.34,2023-06-01 01:21:54,Grocery
6442,C9069,24.91,2023-06-01 01:24:33,Electronics
2683,C6692,86.45,2023-06-01 01:24:51,Electronics
4421,C1807,1000.0,2023-06-01 01:26:31,Entertainment
5531,C7081,72.61,2023-06-01 01:26:59,Entertainment
10834,C3641,61.67,2023-06-01 01:28:36,Grocery
8421,C6681,3698.03,2023-06-01 01:28:48,Grocery
7581,C2251,12.76,2023-06-01 01:30:58,Grocery
6710,C5819,5063.67,2023-06-01 01:39:42,Entertainment
2046,C4626,45.98,2023-06-01 01:40:21,Retail
7886,C8425,47.12,2023-06-01 01:41:45,Retail
2660,C5089,118.12,2023-06-01 01:41:53,Restaurant
7292,C8839,58.38,2023-06-01 01:44:56,Retail
8578,C9860,37.33,2023-06-01 01:46:12,Entertainment
9802,C8404,37.48,2023-06-01 01:46:51,Electronics
10152,C9414,30.09,2023-06-01 01:47:13,Entertainment
5878,C1646,54.19,2023-06-01 01:47:48,Restaurant
3360,C5441,41.52,2023-06-01 01:48:00,Restaurant
4324,C8758,71.06,2023-06-01 01:50:22,Electronics
8440,C6902,50.2,2023-06-01 01:50:24,Restaurant
10249,C2755,99.45,2023-06-01 01:51:11,Grocery
4229,C1029,1.17,2023-06-01 01:52:07,Grocery
3940,C9185,66.56,2023-06-01 01:52:55,Retail
3099,C8575,61.99,2023-06-01 01:53:54,Grocery
4190,C4584,42.33,2023-06-01 01:54:58,Electronics
10711,C3257,73.58,2023-06-01 01:55:12,Entertainment
10322,C1852,52.48,2023-06-01 01:56:05,Grocery
1646,C5526,51.49,2023-06-01 01:56:27,Grocery
1186,C8953,59.31,2023-06-01 01:57:02,Retail
5280,C8848,52.68,2023-06-01 01:57:06,Entertainment
9210,C8391,44.85,2023-06-01 01:57:35,Restaurant
9277,C8187,48.55,2023-06-01 01:59:53,Restaurant
4444,C8937,104.38,2023-06-01 02:00:47,Restaurant
10237,C5994,93.07,2023-06-01 02:00:55,Entertainment
4257,C7323,49.21,2023-06-01 02:00:57,Retail
7806,C6591,85.27,2023-06-01 02:01:48,Entertainment
1270,C9565,107.26,2023-06-01 02:03:17,Electronics
2818,C1828,71.4,2023-06-01 02:05:16,Electronics
5571,C6621,3574.62,2023-06-01 02:05:51,Grocery
4326,C6052,73.46,2023-06-01 02:07:36,Retail
6739,C3056,21.42,2023-06-01 02:07:48,Electronics
2649,C8371,55.38,2023-06-01 02:08:09,Restaurant
10018,C7640,88.19,2023-06-01 02:09:48,Retail
9221,C8236,10.0,2023-06-01 02:10:26,Retail
4138,C5082,64.33,2023-06-01 02:11:17,Retail
9961,C1149,50.29,2023-06-01 02:11:54,Restaurant
5019,C9691,38.89,2023-06-01 02:12:09,Grocery
6832,C3873,55.86,2023-06-01 02:12:14,Restaurant
6218,C4314,33.06,2023-06-01 02:12:43,Electronics
10231,C5809,0.93,2023-06-01 02:14:39,Retail
2785,C4960,82.12,2023-06-01 02:15:46,Electronics
8293,C9596,80.99,2023-06-01 02:16:42,Restaurant
6114,C4825,10.0,2023-06-01 02:18:19,Electronics
7074,C6496,6107.79,2023-06-01 02:18:54,Electronics
6909,C4163,61.23,2023-06-01 02:18:54,Grocery
4057,C4401,65.03,2023-06-01 02:19:04,Retail
3466,C2752,27.74,2023-06-01 02:19:38,Grocery
7295,C6250,78.91,2023-06-01 02:19:42,Entertainment
8940,C2994,58.97,2023-06-01 02:19:50,Grocery
9731,C7138,59.19,2023-06-01 02:19:59,Entertainment
7883,C7591,57.85,2023-06-01 02:20:48,Grocery
9724,C7845,92.3,2023-06-01 02:21:33,Restaurant
4451,C6097,88.72,2023-06-01 02:24:25,Retail
3993,C4201,86.18,2023-06-01 02:26:03,Electronics
7445,C4185,123.73,2023-06-01 02:26:08,Electronics
1493,C4919,69.76,2023-06-01 02:26:26,Electronics
9641,C5640,78.11,2023-06-01 02:26:34,Electronics
4002,C6675,67.99,2023-06-01 02:28:01,Restaurant
1127,C2743,44.04,2023-06-01 02:30:06,Retail
6140,C8913,100.71,2023-06-01 02:30:42,Entertainment
1067,C5010,96.32,2023-06-01 02:31:54,Entertainment
1457,C8461,37.77,2023-06-01 02:32:28,Entertainment
3306,C8916,47.25,2023-06-01 02:32:37,Restaurant
7640,C9272,31.75,2023-06-01 02:34:07,Electronics
4413,C5512,101.59,2023-06-01 02:34:19,Restaurant
5224,C4796,61.78,2023-06-01 02:36:15,Retail
4706,C7713,74.93,2023-06-01 02:36:49,Electronics
3269,C3497,77.99,2023-06-01 02:36:56,Restaurant
8988,C8314,35.58,2023-06-01 02:39:28,Grocery
3568,C6225,83.79,2023-06-01 02:42:12,Electronics
7210,C9015,24.28,2023-06-01 02:43:21,Entertainment
9327,C5769,71.28,2023-06-01 02:44:03,Retail
5163,C6131,34.97,2023-06-01 02:44:12,Grocery
3988,C5979,100.98,2023-06-01 02:45:52,Grocery
2712,C3053,1925.75,2023-06-01 02:46:15,Entertainment
2218,C6567,56.0,2023-06-01 02:46:38,Retail
8478,C1764,59.59,2023-06-01 02:46:56,Restaurant
3754,C6289,35.04,2023-06-01 02:51:44,Electronics
3135,C3086,26.26,2023-06-01 02:51:51,Electronics
7718,C9177,35.62,2023-06-01 02:56:13,Grocery
7558,C9755,68.17,2023-06-01 02:56:15,Restaurant
7184,C3234,3759.65,2023-06-01 02:59:38,Grocery
3916,C3684,87.58,2023-06-01 03:01:39,Grocery
5557,C1137,83.94,2023-06-01 03:02:11,Restaurant
3925,C5403,83.16,2023-06-01 03:02:35,Entertainment
2639,C8179,59.27,2023-06-01 03:03:55,Entertainment
7141,C4433,81.27,2023-06-01 03:04:08,Entertainment
3061,C8454,80.28,2023-06-01 03:05:05,Entertainment
8395,C1834,14.79,2023-06-01 03:06:03,Retail
10882,C8753,39.56,2023-06-01 03:06:12,Electronics
7383,C1674,43.12,2023-06-01 03:06:46,Retail
9395,C4559,52.18,2023-06-01 03:08:40,Retail
3147,C8546,84.1,2023-06-01 03:08:59,Grocery
7458,C5663,67.28,2023-06-01 03:09:15,Entertainment
2403,C6082,78.68,2023-06-01 03:10:57,Retail
8296,C8671,38.73,2023-06-01 03:11:28,Entertainment
1103,C3504,106.23,2023-06-01 03:11:51,Electronics
2264,C1897,10.0,2023-06-01 03:12:37,Retail
9537,C7264,21.28,2023-06-01 03:13:51,Retail
2413,C7937,41.04,2023-06-01 03:14:02,Retail
3896,C9788,48.71,2023-06-01 03:14:29,Electronics
9634,C3503,81.49,2023-06-01 03:16:22,Retail
6692,C3444,35.12,2023-06-01 03:16:44,Retail
7650,C1070,98.4,2023-06-01 03:17:34,Restaurant
2959,C2789,10.7,2023-06-01 03:17:52,Retail
6010,C4519,98.58,2023-06-01 03:18:22,Electronics
2707,C8842,39.33,2023-06-01 03:19:09,Entertainment
9025,C2682,72.87,2023-06-01 03:21:46,Restaurant
9030,C9337,94.66,2023-06-01 03:22:00,Electronics
